ID_result,#,0_1,0_2,0_3,0_4,0_5,1_1,1_2,1_3,1_4,1_5,2_1,2_2,2_3,2_4,2_5,5_1,5_2,5_3,5_4,5_5,10_1,10_2,10_3,10_4,10_5,20_1,20_2,20_3,20_4,20_5
,14,4.885899559,4.239691099,5.092198165,4.07142634,4.494875717,4.85130438,4.61908403,6.652320096,6.062404572,4.771461183,4.270371423,5.415036634,6.098447055,5.708401312,5.290912006,4.993896756,5.965461877,5.434934232,3.60481876,4.315148312,5.849580612,5.595575428,7.026618335,4.886819616,4.366833665,4.800061917,6.032352335,5.584551148,5.606711571,4.354419966
,15,5.4680298,4.691108089,5.737252036,4.346215364,4.378697831,4.718036519,4.761218206,5.876816014,5.472320059,4.836034438,4.090597746,4.482351066,5.380824059,5.337468257,4.570389851,4.685456587,5.418708972,4.985786057,2.61994675,4.197987411,4.523608579,4.611663815,5.383832287,4.364361421,3.652019361,3.869710336,4.89307358,4.276345861,3.848163548,3.320809334
,16,6.08467484,5.289426873,6.333282111,4.872189546,4.960240956,5.232470394,5.304623513,6.53547397,6.164460535,5.425152222,4.496405176,5.042106608,6.069132486,5.973856719,5.159301083,5.236003428,6.032488635,5.609618748,2.957439945,4.721199496,5.199432207,5.194980392,6.038980425,4.927719246,4.107255811,4.280602005,5.450740992,4.817687475,4.340164014,3.723327705
ID,17,9.12E-05,3.17E-05,0,0,2.48E-05,0.760171127,0.732714988,0.869251341,0.773131521,0.710435637,1.323203201,1.415910756,1.537530817,1.504615602,1.420036728,3.543684864,3.752416097,3.605056579,2.65083301,3.472646406,6.480914485,6.601758529,7.36069592,6.38627903,5.990820654,8.997490705,10.95942451,10.19840017,9.800244454,8.949532916
,18,10.38613567,10.16049689,12.04275571,9.765232268,9.592624449,10.7761081,10.91389852,12.52235566,11.20953669,10.58403935,11.89857136,11.25118554,11.64432154,11.83386578,10.49641067,10.93414891,11.81098353,11.56031887,7.507786933,11.00680735,11.08457849,11.24026365,12.48974946,11.07683885,9.473716825,11.56987294,11.86405758,11.1236921,10.20762731,9.214547402
,19,4.304432638,3.792986101,4.748727425,4.121952993,4.209279457,4.519426193,4.641927036,6.512362244,5.980259633,4.218720774,3.700577607,5.028930856,5.654104549,5.750580021,4.979912321,4.733160364,5.830187917,5.039089728,3.793039095,3.914096717,5.498118301,5.239913429,6.892161171,4.317723854,4.060646859,4.129759196,5.495762862,4.966432724,5.011385464,4.064855092
,20,2.407075223,3.820536551,6.593761501,8.227586304,9.866459781,7.906416117,4.602409982,4.578595288,4.143527956,9.224620168,7.213540731,7.291752897,6.589707362,3.280018988,5.113655541,6.136299392,4.203864948,4.017239706,8.836473793,8.048906707,10.37976862,5.728646647,5.434998991,4.41374602,10.75641544,17.8823209,6.933185859,6.797883306,8.039865425,8.981488712
,21,6.668693176,6.107665421,7.204201327,5.798496635,5.871357525,6.349458636,6.791247093,8.218980269,7.654762248,6.915197734,4.729637402,5.982234087,7.411983468,7.339481364,6.754197987,6.470633583,7.332214264,6.748269136,3.591933968,5.827586356,6.331269995,6.339698926,7.585757595,5.984427388,4.982182827,4.665211183,6.103914052,5.243833799,4.817647592,4.20397971
,22,3.567005016,3.23260511,3.777058518,3.425341777,3.552116053,3.68480775,3.925216746,5.822465918,5.130196522,3.955830772,3.303910802,4.716954775,5.168269293,4.625947758,4.721975518,4.254450748,5.26445639,4.70916409,3.647953298,3.538787489,5.381609816,5.032361903,6.478694181,4.287759654,3.941689808,3.983402949,5.528562506,4.936418208,5.147674299,4.202186735
,23,3.751091061,3.272624221,3.693221097,3.289246417,4.21224695,3.861864238,3.593417723,5.531390799,4.925097661,3.604516851,3.187840969,4.424614469,4.71269069,4.011707137,4.41095496,4.055553093,4.69690147,3.887701043,3.668137216,3.066146322,4.482907826,4.188734003,6.043600261,3.601984036,3.228710107,3.429988202,4.581467865,4.039183716,4.5861533,3.658132041
,24,3.22331489,2.801865222,3.571977316,2.991046183,3.142811707,3.296551785,3.331209315,4.823739809,4.414824343,3.275273172,2.80625882,3.699544309,4.308484366,4.101953053,3.752669286,3.498455796,4.436029756,3.827483715,2.908700858,2.884434028,4.197448337,3.956481786,5.199430071,3.368521453,3.060514626,3.102236821,4.297539322,3.749595707,3.756598623,3.233415745
,25,4.115129207,3.95957409,5.348342682,4.325325925,4.033979684,4.255733248,4.181773955,5.859071571,4.822553084,3.834530738,3.667464405,4.23123088,4.724512889,4.724003641,4.550038997,4.310576578,4.824232472,4.40475398,3.878677535,4.103301836,4.921878493,4.662089615,6.180535755,4.488302534,4.007288202,4.238103232,5.199955871,4.838131695,4.955990824,4.226740474
,26,8.985235943,8.653706323,8.993773176,7.160117709,7.421165414,7.597099248,8.172943377,10.86722102,9.091922121,8.467541167,6.700724204,7.807024785,8.890399855,8.088326644,7.655602519,7.417189441,8.277232195,7.792409944,4.431890763,5.955550978,6.869929039,6.613021016,8.215134888,6.252640002,5.583198589,4.774474263,6.419716583,5.444769209,5.07687871,4.144368254
,27,2.224675108,2.27474665,3.028484509,2.476039868,2.333753166,2.35326408,2.253529318,2.990705609,2.532027136,2.097473167,2.065919066,2.33077336,2.437852543,2.306831043,2.134878641,2.153085484,2.269969223,2.088431304,2.029372653,1.807793905,2.18743618,1.932417292,2.380750375,1.855948999,1.731993282,1.6783939,2.082079874,1.925001568,1.953622504,1.812808422
,28,0.993331775,1.84609827,2.893892275,1.868229234,1.714136132,1.732380895,1.419690299,2.781925948,2.194057136,2.67905402,2.438084091,1.715332824,1.937017124,1.419246582,2.130164442,2.261317165,2.508801823,1.66008174,2.636862417,2.876511729,4.106509584,1.732086638,3.764846834,4.639823957,2.103803199,2.781315181,5.839931524,1.322551236,4.510433771,2.057151386
,29,2.689344798,3.114858997,4.016808684,4.7080031,3.747805297,3.305673299,3.137936733,3.599837182,3.842538118,4.673285781,4.319274841,4.498491667,3.458964399,2.941279394,4.651598738,4.471075855,3.524268904,4.101814152,12.88307637,4.913627555,5.109362743,2.618472889,3.615775668,5.565952804,4.945325645,5.350509926,4.341619581,4.552719384,5.538939188,6.218651315
